symbol,description,sector,price,volume_1d,liquidity_value_1d,coverage_score,perf_1m,perf_3m,perf_6m,perf_1y,perf_ytd,revenue_growth_ttm,eps_growth_ttm,roe_ttm,net_margin_ttm,operating_margin_ttm,fcf_margin_ttm,debt_to_equity,vol_1m,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_guardrails,rank
TIP,Initiates PLC,Commercial services,32.3,6758600.0,218302779.99999997,1.0,66.49484536082474,60.69651741293529,210.57692307692307,393.3835682531332,142.8571428571428,153.94843702488677,176.05633802816908,82.8113452673717,28.6059123696569,42.4339405565573,30.5435908556455,0.014206416530946,5.377890011026132,88.63309352517986,91.9799186789478,84.3403192846181,47.88169464428458,83.42058706882912,1
UNILEVER,Unilever Nigeria PLC,Consumer non-durables,172.0,1706686.0,293549992.0,1.0,71.74238642036943,101.16959064327486,134.01360544217687,300.0,138.88888888888889,37.76253450463308,85.95227517928538,32.8237074171983,14.8638339534519,19.006454556224,19.08656277481405,0.018989656391311,0.8223310020849801,84.61538461538461,71.25,72.02020202020202,76.92307692307692,78.5098581973582,2
WEMABANK,Wema Bank PLC,Finance,32.5,2996602.0,97389565.0,1.0,25.0,25.482625482625487,63.31658291457288,124.9134948096886,58.92420537897311,53.588914585676925,57.10318553199303,46.2828714923772,43.639476619098566,50.164146735712855,116.733404035058,0.224578666089897,4.904044788223896,76.66666666666666,80.13888888888889,86.47727272727272,50.41666666666667,78.38320707070707,3
BERGER,Berger Paints Nigeria PLC,Process industries,168.95,2013026.0,340100742.7,1.0,140.31847499999986,125.26666666666664,351.1348464619492,687.6456876456876,251.97916666666663,16.987734416578796,118.81414753008934,35.8568494812065,12.8147615319619,18.43833727459,20.330140490172077,0.0332092657538575,1.2839791073837628,91.875,76.42857142857143,64.92673992673993,56.69642857142857,76.81204212454213,4
CAP,Chemical & Allied Products Plc,Process industries,233.7,107261.0,25066895.7,1.0,140.31847499999986,114.40366972477062,220.13698630136983,484.25,238.69565217391303,23.35671779423792,54.31032710376446,49.147968626699,13.6329945119175,17.3145704667908,17.707842657147857,0.0005586053437454,1.732144892101707,85.625,75.71428571428572,66.31868131868131,64.73214285714286,76.62431318681318,5
CUSTODIAN,Custodian Investment Plc,Finance,81.25,892878.0,72546337.5,1.0,15.24822695035461,47.99635701275046,105.69620253164555,350.1385041551246,88.95348837209302,28.353930704596248,73.67646893702069,52.007279674225,37.2893846732887,30.7672200563689,46.70446919087432,0.6338227085717241,0.3238374407272797,85.41666666666666,69.16666666666667,73.67424242424242,60.0,76.06439393939394,6
BUACEMENT,BUA Cement Plc,Non-energy minerals,435.0,1905500.0,828892500.0,1.0,33.149678604224064,126.5625,158.92857142857142,419.7132616487455,143.69747899159665,23.59902989671828,229.25828927212527,68.4320055970737,36.2890425845529,46.0116150535818,33.43269270426791,0.591100913208497,0.1270278543005806,85.0,87.5,70.83333333333333,25.0,74.58333333333333,7
OKOMUOIL,Okomu Oil Palm Co. Plc,Process industries,1750.0,56211.0,98369250.0,1.0,-0.8498583569405099,31.876412961567446,57.65765765765766,215.3153153153153,59.81735159817352,37.535445937678126,59.77784873111354,87.4132260744436,32.8633059578075,46.4715984154591,29.85473952714026,0.343886504101032,3.3306690738754696e-16,40.0,82.61904761904762,98.07692307692308,61.60714285714286,74.4150641025641,8
NGXGROUP,Nigerian Exchange Group PLC,Finance,151.5,39903755.0,6045418882.5,1.0,-13.57672561323446,80.35714285714286,284.03041825095056,461.1111111111111,172.97297297297297,24.843033732796545,15.752225858001676,24.5369336312627,44.856336805483,48.2105440566851,27.72451444440227,0.0,1.0659159998237586,77.91666666666667,53.05555555555556,71.89393939393939,87.91666666666667,73.9040404040404,9
SCOA,SCOA Nigeria PLC,Consumer durables,33.05,619919.0,20488322.95,0.8571428571428571,45.91611479028697,-13.36828309305374,365.4929577464789,639.3736017897093,365.4929577464789,25.597340376830136,641.0476190476192,126.72822437383,5.77105242136344,5.2893323789217,,,1.7763568394002505e-15,81.29496402877699,79.31292008961913,51.24023105674482,76.97841726618705,73.08021995514186,10
